plant_id_eia,operating_year,capacity_mw,generator_id,fgd
3944,1974,684,3,1
3944,1973,684,2,1
3948,1971,816.3,1,1
3948,1971,816.3,2,1
3954,1966,570.2,2,1
3954,1973,522,3,1
3954,1965,570.2,1,1
4041,1965,317.6,7,1
4041,1959,299.2,5,1
4041,1961,299.2,6,1
4041,1967,324,8,1
4050,1985,413.7,5,1
4078,1981,350.5,3,1
4078,2008,595,4,1
4143,1969,345.6,ST3,1
4158,1972,400,4,1
4158,1959,133.6,1,1
4158,1964,255,3,1
4158,1961,133.6,2,1
4162,1963,192,1,1
4162,1968,256,2,1
4162,1971,384,3,1
4271,1979,387,1,1
4941,1976,803.1,NAV3,1
4941,1975,803.1,NAV2,1
4941,1974,803.1,NAV1,1
6002,1991,705.5,4,1
6002,1989,705.5,3,1
6002,1978,705.5,1,1
6002,1985,705.5,2,1
6004,1979,684,1,1
6004,1980,684,2,1
6009,1981,900,2,0
6009,1980,900,1,0
6016,1976,441,1,1
6017,1977,617.4,1,1
6018,1981,772,2,1
6019,1991,1425.6,ST1,1
6021,1980,446.4,1,1
6021,1984,534.8,3,1
6021,1979,446.4,2,1
6030,1980,604.8,2,1
6030,1979,604.8,1,1
6034,1985,697.5,ST2,0
6034,1984,697.5,ST1,0
6041,1981,592.1,2,1
6041,2009,329.4,4,1
6041,2005,329.4,3,1
6041,1977,357.6,1,1
6052,1976,952,1,1
6052,1978,952,2,1
6055,1983,619,3,1
6055,1981,657.9,1,1
6064,1981,261,1,1
6065,1980,726,1,1
6065,2010,999,2,1
6068,1978,720,1,1
6068,1980,720,2,1
6068,1983,720,3,1
6071,1990,566.1,1,1
6071,2011,834,2,1
6073,1977,548.3,1,1
6073,1981,548.3,2,1
6076,1976,358,2,1
6076,1975,358,1,1
6076,1984,823.7,3,1
6076,1986,823.7,4,1
6077,1982,681.3,2,0
6077,1979,681.3,1,0
6082,1984,655.1,1,1
6085,1983,423.5,17,1
6085,1976,540,14,1
6085,1986,423.5,18,1
6085,1979,556.4,15,1
6089,1958,50,1,1
6090,1977,765.3,2,1
6090,1976,765.3,1,1
6090,1987,938.7,3,1
