heat_load_shifting,heat_load_shifting,heat_load_shifting
2030,2030,2030
moderate,moderate,moderate
NENGREST,NENG_CT,NENG_ME
306.4857143,87.5142857,41.77142855
309.2571429,88.31428574,42.17142856
309.742857,88.45714284,42.22857143
308.5142858,88.1142857,42.05714289
308.0571427,87.99999994,42.00000002
306.8857142,87.62857146,41.82857141
311.1714285,88.8571428,42.42857144
335.4285713,95.79999995,45.7142857
361.9714285,103.3714286,49.37142858
362.6857144,103.5714286,49.45714285
356.5714288,101.8285714,48.62857142
344.9999998,98.54285709,47.05714283
324.6285715,92.71428566,44.25714285
297.4571431,84.94285712,40.54285716
273.6571429,78.17142854,37.3142857
258.8857143,73.9428572,35.28571428
251.1142855,71.71428576,34.22857144
247.1428573,70.60000005,33.68571429
247.5999999,70.71428567,33.74285716
254.3142856,72.62857144,34.68571426
275.3142856,78.62857144,37.54285717
313.5714287,89.54285708,42.74285712
334.3714286,95.48571428,45.57142857
334.7714285,95.60000004,45.65714284
333.8857144,95.34285718,45.5142857
333.1428574,95.14285713,45.42857143
329.857143,94.19999999,44.97142854
325.1428572,92.88571423,44.34285712
322.3428571,92.05714284,43.94285717
319.8285714,91.34285708,43.60000002
323.1428573,92.28571423,44.05714284
345.7142858,98.74285714,47.14285716
364.0857143,103.9714286,49.65714286
361.2857141,103.1714285,49.25714285
352.8857141,100.7714285,48.11428573
339.3714284,96.94285714,46.25714286
317.0285712,90.54285717,43.2285714
288.5714284,82.42857149,39.34285712
262.2285714,74.91428568,35.77142857
245.4285714,70.08571433,33.45714288
236.4285713,67.51428576,32.22857143
231.9142857,66.22857147,31.6
231.0571427,65.99999995,31.51428573
237.0000002,67.68571433,32.3142857
256.4285714,73.22857144,34.94285714
293.3714285,83.80000007,40.00000001
315.0285713,89.97142851,42.94285713
317.3142857,90.62857146,43.25714287
318.7428571,91.02857141,43.45714288
317.2857141,90.59999999,43.25714287
312.8571428,89.37142851,42.65714285
308.9714284,88.22857146,42.14285716
307.4571426,87.80000003,41.91428569
305.0285713,87.11428574,41.60000001
307,87.68571427,41.85714288
326.5142855,93.25714285,44.51428572
347.8857143,99.34285714,47.42857144
346.5999999,98.97142852,47.25714283
338.7428572,96.74285709,46.17142859
326.0857145,93.14285709,44.45714285
305.1714287,87.14285708,41.62857141
277.0857142,79.11428568,37.77142858
252.8285714,72.22857148,34.45714285
236.942857,67.65714286,32.2857143
228.3142857,65.20000004,31.14285712
223.9142855,63.94285709,30.51428569
222.8000002,63.62857142,30.37142855
228.2285714,65.20000004,31.11428572
247.5142856,70.68571433,33.74285716
283.7999999,81.02857145,38.68571429
305.5142859,87.25714284,41.65714287
308.0571427,87.9714286,42.00000002
308.3714288,88.05714288,42.02857142
307,87.68571427,41.85714288
302.4571429,86.37142851,41.22857146
297.4571431,84.94285712,40.54285716
294.8571431,84.20000002,40.20000002
290.7428574,83.02857149,39.62857146
292.1428572,83.42857145,39.8285714
309.2000001,88.28571427,42.17142856
325.5142855,92.97142852,44.37142858
320.2857144,91.48571432,43.65714289
311.0857142,88.82857146,42.42857144
298.742857,85.31428574,40.74285717
282.7142857,80.74285712,38.54285715
260.942857,74.51428572,35.57142856
238.514286,68.11428576,32.51428571
221.2000001,63.17142852,30.17142855
211.6,60.42857137,28.82857143
206.4,58.94285718,28.14285713
204.2571426,58.34285718,27.85714285
206.3142857,58.9142857,28.14285713
214.1714284,61.14285713,29.19999997
228.3714284,65.20000004,31.14285712
243.3428571,69.48571433,33.1714286
258.657143,73.85714291,35.25714288
267.9142855,76.51428577,36.51428573
270.5142855,77.25714287,36.85714288
268.342857,76.6285714,36.5714286
263.4285715,75.22857148,35.88571431
257.8571428,73.62857139,35.14285715
253.9142857,72.51428568,34.62857146
256.6285715,73.31428572,34.97142854
275.3999999,78.65714292,37.54285717
294.2857141,84.02857145,40.11428574
290.8000001,83.05714283,39.65714286
281.4857144,80.39999997,38.37142854
272.6285713,77.85714287,37.17142856
259.8857143,74.22857139,35.42857142
243.2000001,69.45714286,33.1714286
224.8285712,64.22857142,30.65714283
209.4285715,59.80000003,28.57142855
200.5428573,57.2571428,27.34285716
195.257143,55.74285713,26.6285714
193.8285716,55.34285717,26.4285714
195.3142857,55.7714286,26.6285714
200.9999999,57.40000003,27.39999997
211.9714288,60.54285713,28.88571429
223.5142856,63.82857147,30.45714283
239.542857,68.39999996,32.62857144
251.9428573,71.94285715,34.34285711
259.7714284,74.20000005,35.40000002
264.6571428,75.59999997,36.08571432
265.5142857,75.82857148,36.19999999
264.0571427,75.40000006,35.99999998
263.1142859,75.1428572,35.88571431
266.7714286,76.19999997,36.37142859
289.6857142,82.74285716,39.48571425
313.4857144,89.51428574,42.74285712
312.9999998,89.37142851,42.68571431
304.9142858,87.05714279,41.5714286
294.3428573,84.05714292,40.11428574
276.9714288,79.08571435,37.77142858
254.1142858,72.57142862,34.65714286
234.1142858,66.85714281,31.91428568
221.0285716,63.11428571,30.14285714
214.6857142,61.31428571,29.25714284
