start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
MIS_IL,PJM_COMD,265552.5327847839,12863.105834002865,0.0523582938512166,153373,122068,2018,151.39749262993232,,,,,,,265552.5327847839,0.0523582938512166,151.39749262993232,12863.105834002863
MIS_IL,PJM_West,530005.5252872559,25672.951008535416,0.0289525442729741,122068,113595,2018,507.99116139070185,,269693.55200095824,,0.0450987753550211,,130.40611460128412,799699.0772882141,0.0740513196279952,638.3972759919859,38736.64377680585
MIS_IL,S_C_TVA,570815.4681663477,27649.74486106782,0.0330610321880131,147295,122068,2018,580.0698948877637,,423800.8732021485,,0.0236796594848632,,317.8477631084999,994616.3413684962,0.056740691672876306,897.9176579962636,48178.24604828913
MIS_INKY,MIS_LMI,367309.43935854494,17792.11119830052,0.0254207241210937,143992,151162,2018,341.21782079358866,,331484.00868200685,,0.0208513991241455,,279.8845596729041,698793.4480405517,0.0462721232452392,621.1023804664928,33848.87345638017
MIS_INKY,PJM_COMD,272214.4978338013,13185.804927057226,0.0189171785507202,153373,153313,2018,253.92187924757036,,,,,,,272214.4978338013,0.0189171785507202,253.92187924757036,13185.804927057226
MIS_INKY,PJM_West,245399.8846300232,11886.93120169311,0.0436744543268655,113595,151162,2018,126.33935777509473,,269693.55200095824,,0.0450987753550211,,130.40611460128412,515093.43663098145,0.08877322968188661,256.74547237637887,24950.62396996355
MIS_INKY,S_C_KY,283457.1645063049,13730.388741597731,0.0515099518651142,125098,125325,2018,148.9962120245869,,,,,,,283457.1645063049,0.0515099518651142,148.9962120245869,13730.388741597731
MIS_INKY,S_C_TVA,530397.0286154053,25691.91504812314,0.0345223955355957,147295,153313,2018,463.4396462005364,,423800.8732021485,,0.0236796594848632,,317.8477631084999,954197.9018175538,0.0582020550204589,781.2874093090363,46220.416235344455
MIS_LA,MIS_WOTA,331480.1060927735,16056.573220461336,0.0219969753112792,149843,306832,2018,295.2614536606107,,,,,,,331480.1060927735,0.0219969753112792,295.2614536606107,16056.573220461336
MIS_LA,S_SOU,627632.4276019628,30401.902992351294,0.0330253526000976,153516,112438,2018,579.3922253581005,,397700.8759244141,,0.0195274735565185,,262.1137443927329,1025333.3035263768,0.0525528261566161,841.5059697508334,49666.14575307598
MIS_LA,SPP_WEST,754064.5195843554,36526.15028507788,0.0552521623535156,149843,149640,2018,969.3361825443122,,,,,,,754064.5195843554,0.0552521623535156,969.3361825443122,36526.15028507788
MIS_LMI,MIS_WUMS,664893.304944834,32206.78356985115,0.0300628440166264,145780,144525,2018,527.4701294725842,331484.00868200685,,0.0208513991241455,,279.8845596729041,,996377.3136268408,0.0509142431407719,807.3546891454882,48263.54582793081
MIS_LMI,PJM_ATSI,405682.94901411136,19650.886600460664,0.0188669749450683,128510,154487,2018,253.24799769332012,331484.00868200685,,0.0208513991241455,,279.8845596729041,,737166.9576961182,0.0397183740692138,533.1325573662242,35707.64885854031
MIS_LMI,PJM_West,318365.6441357422,15421.321466918416,0.0189420228729248,128336,152464,2018,254.25535700620117,331484.00868200685,269693.55200095824,0.0208513991241455,0.0450987753550211,279.8845596729041,130.40611460128412,919543.2048187073,0.0848921973520914,664.5460312803893,44541.77649326851
MIS_MAPP,MIS_MNWI,372251.788261792,18031.51376149339,0.0257463887939453,143526,135655,2018,345.5891411371481,,,,,,,372251.788261792,0.0257463887939453,345.5891411371481,18031.513761493385
MIS_MAPP,SPP_WAUE,315545.1321294922,15284.69861470155,0.0228792551116943,134908,135109,2018,307.1040764008558,,,,,,,315545.1321294922,0.0228792551116943,307.1040764008558,15284.69861470155
MIS_MIDA,MIS_MNWI,424479.196315979,20561.35849764254,0.0276924421081542,144556,146241,2018,371.71067811865413,,,,,,,424479.196315979,0.0276924421081542,371.71067811865413,20561.35849764254
MIS_MIDA,MIS_MO,484337.3520467774,23460.829212981174,0.0314788449984863,153254,117940,2018,422.5866158202056,,,,,,,484337.3520467774,0.0314788449984863,422.5866158202056,23460.829212981178
MIS_MIDA,PJM_COMD,529036.1696243286,25625.99636512733,0.0338420442019775,134652,146241,2018,454.3073952066289,,,,,,,529036.1696243286,0.0338420442019775,454.3073952066289,25625.996365127332
MIS_MIDA,S_D_AECI,387088.3837834473,18750.18398621316,0.0252092876281738,153254,121121,2018,338.37972567696545,,,,,,,387088.3837834473,0.0252092876281738,338.37972567696545,18750.18398621316
MIS_MIDA,SPP_N,343710.1785025879,16648.986006418298,0.0210582407531738,153254,117645,2018,282.66094859722216,,,,,,,343710.1785025879,0.0210582407531738,282.66094859722216,16648.986006418298
MIS_MIDA,SPP_NEBR,354672.9142800964,17180.01024127501,0.0638074848175048,156384,137755,2018,184.5035713374675,,,,,,,354672.9142800964,0.0638074848175048,184.5035713374675,17180.01024127501
MIS_MIDA,SPP_WAUE,657013.8144819922,31825.10873256503,0.047700239868164,134908,137702,2018,836.8463735464513,,,,,,,657013.8144819922,0.047700239868164,836.8463735464513,31825.10873256503
MIS_MNWI,MIS_WUMS,554970.7407881152,26882.24171191764,0.0289999815673828,134710,143535,2018,508.77164466274974,,,,,,,554970.7407881152,0.0289999815673828,508.77164466274974,26882.24171191764
MIS_MNWI,SPP_WAUE,573071.3844352051,27759.019246119457,0.0365744166870117,134908,143526,2018,641.6564209735992,,,,,,,573071.3844352051,0.0365744166870117,641.6564209735992,27759.019246119457
MIS_MO,S_D_AECI,340916.2599437378,16513.651314870847,0.0212792998172119,117940,121121,2018,285.67997820865986,,,,,,,340916.2599437378,0.0212792998172119,285.67997820865986,16513.651314870847
MIS_MO,SPP_N,371606.3288640992,18000.248337447127,0.024118696072705,117394,117940,2018,323.7926765808675,,,,,,,371606.3288640992,0.024118696072705,323.7926765808675,18000.24833744713
MIS_WOTA,SPP_WEST,655754.7294817383,31764.11988247789,0.0422334027099609,149640,307475,2018,740.9369042456475,,,,,,,655754.7294817383,0.0422334027099609,740.9369042456475,31764.11988247789
MIS_WUMS,PJM_COMD,145101.70894356997,7028.585339641572,0.0161304052352905,134713,144525,2018,46.64213562373099,,,,,,,145101.70894356997,0.0161304052352905,46.64213562373099,7028.585339641572
NENG_CT,NENGREST,331318.1201246094,16048.726778063414,0.0329694215774536,136325,140762,2018,95.33326112068505,,55215.76718514214,,0.0012702793274695,,3.724873734152917,386533.88730975153,0.0342397009049231,99.05813485483797,18723.32471753689
NENG_CT,NY_Z_G-I,481102.55822554935,23304.138953478523,0.0449984530959899,140763,139286,2018,130.1677848998409,,,,,,,481102.55822554935,0.0449984530959899,130.1677848998409,23304.138953478523
NENG_CT,NY_Z_K,2296153.8657894777,111223.45502440352,0.060793821735618,134777,136447,2018,175.84114344382823,,,,,,,2296153.8657894777,0.060793821735618,175.84114344382823,111223.45502440352
NENG_ME,NENGREST,300215.14836106566,14542.129144250935,0.037722607568341,136940,136729,2018,109.12920266670335,,55215.76718514214,,0.0012702793274695,,3.724873734152917,355430.9155462078,0.0389928868958105,112.85407640085627,17216.727083724414
NENGREST,NY_Z_D,647853.2695445215,31381.380865268344,0.0299359229961186,136940,143769,2018,525.2434700696979,55215.76718514214,,0.0012702793274695,,3.724873734152917,,703069.0367296636,0.0312062023235881,528.9683438038508,34055.97880474182
NENGREST,NY_Z_F,639577.6466265772,30980.51775799725,0.0594747884289887,136940,136072,2018,268.224657096207,55215.76718514214,,0.0012702793274695,,3.724873734152917,,694793.4138117194,0.0607450677564582,271.94953083035995,33655.115697470734
NY_Z_A,NY_Z_B,202285.47539975584,9798.511245447013,0.0320311027526855,144065,144053,2018,92.62005768508865,,,,,,,202285.47539975584,0.0320311027526855,92.62005768508865,9798.511245447013
NY_Z_A,PJM_PENE,373536.8732756958,18093.76202689755,0.0528687906265258,125362,146107,2018,152.87362902255623,,,,,,,373536.8732756958,0.0528687906265258,152.87362902255623,18093.76202689755
NY_Z_B,NY_Z_C&E,212032.4338840332,10270.644413329475,0.0332794399261474,125435,144052,2018,96.22970773009182,,,,,,,212032.4338840332,0.0332794399261474,96.22970773009182,10270.644413329477
NY_Z_C&E,NY_Z_D,416773.5419869531,20188.104113227266,0.0628969168565538,144055,143769,2018,283.6033367526471,,,,,,,416773.5419869531,0.0628969168565538,283.6033367526471,20188.104113227262
NY_Z_C&E,NY_Z_F,424323.17698002927,20553.801073092956,0.0688656074081237,125440,135556,2018,199.18124086713107,,,,,,,424323.17698002927,0.0688656074081237,199.18124086713107,20553.801073092953
NY_Z_C&E,NY_Z_G-I,679422.9924098902,32910.58746747571,0.0689748651801215,136004,144061,2018,311.00892834366834,,,,,,,679422.9924098902,0.0689748651801215,311.00892834366834,32910.58746747571
NY_Z_C&E,PJM_PENE,501955.4434931397,24314.23238895979,0.0270763651706054,146107,125435,2018,363.49294705943566,,,,,,,501955.4434931397,0.0270763651706054,363.49294705943566,24314.23238895979
NY_Z_F,NY_Z_G-I,510717.5186659058,24738.65876927273,0.0574761005401611,124337,139286,2018,166.19595949289257,,,,,,,510717.5186659058,0.0574761005401611,166.19595949289257,24738.65876927273
NY_Z_G-I,NY_Z_J,297346.10016408993,14403.155246267206,0.0066578181141987,129505,134793,2018,19.303300858899114,,,,,,,297346.10016408993,0.0066578181141987,19.303300858899114,14403.155246267206
NY_Z_G-I,NY_Z_K,1361327.9046246368,65941.39671098413,0.0193631562108173,134777,134793,2018,56.04163056034268,,,,,,,1361327.9046246368,0.0193631562108173,56.04163056034268,65941.39671098413
NY_Z_J,NY_Z_K,924580.5651406524,44785.78131696831,0.0134691559030984,134777,140877,2018,38.99873734152922,,,,,,,924580.5651406524,0.0134691559030984,38.99873734152922,44785.78131696831
NY_Z_K,PJM_EMAC,1220883.6857424683,59138.41564990984,0.0168497221186136,134777,132362,2018,48.773863607376306,,178610.14516786803,,0.0130808413505554,,37.824116139070455,1399493.8309103365,0.029930563469169,86.59797974644675,67790.1169770551
PJM_AP,PJM_ATSI,329901.48622636107,15980.106412932224,0.0450373352686564,150617,152322,2018,130.22844507162068,,,,,,,329901.48622636107,0.0450373352686564,130.22844507162068,15980.106412932224
PJM_AP,PJM_Dom,455623.5137273682,22069.958874333926,0.0197493101779296,122896,146390,2018,265.1431816442561,,225463.1402080607,,0.03127780652324641,,90.45675800194127,681086.6539354289,0.05102711670117601,355.5999396461974,32991.173610076374
PJM_AP,PJM_PENE,380055.5484574036,18409.520298454885,0.0598289133707682,146106,150617,2018,172.99926035179172,,,,,,,380055.5484574036,0.0598289133707682,172.99926035179172,18409.520298454885
PJM_AP,PJM_SMAC,513464.3655853272,24871.71335649053,0.0226377357455566,123096,146390,2018,303.9139969244272,,,,,,,513464.3655853272,0.0226377357455566,303.9139969244272,24871.713356490534
PJM_AP,PJM_West,363427.68239665526,17604.082674908008,0.0188308421298339,123680,151647,2018,252.8147545195098,,269693.55200095824,,0.0450987753550211,,130.40611460128412,633121.2343976134,0.06392961748485501,383.2208691207939,30667.775443178445
PJM_AP,PJM_WMAC,654773.5685005762,31716.593400962043,0.028583606345728,150617,147476,2018,501.51859633554494,,,,,,,654773.5685005762,0.028583606345728,501.51859633554494,31716.593400962043
PJM_ATSI,PJM_PENE,294360.5879995544,14258.539947221096,0.0468862264633178,146106,148484,2018,135.57463914933322,,,,,,,294360.5879995544,0.0468862264633178,135.57463914933322,14258.539947221096
PJM_ATSI,PJM_West,304660.3191743774,14757.448885404336,0.0534207211369648,151647,113152,2018,154.52133829043385,,269693.55200095824,,0.0450987753550211,,130.40611460128412,574353.8711753357,0.09851949649198591,284.92745289171796,27821.14165367478
PJM_COMD,PJM_West,375839.12240766606,18205.28073067424,0.0258325962191894,113595,154107,2018,346.79803358706835,,269693.55200095824,,0.0450987753550211,,130.40611460128412,645532.6744086243,0.0709313715742105,477.20414818835246,31268.973498944677
PJM_Dom,PJM_SMAC,69527.8725179545,3367.86237070586,0.0027104033822193,146246,146294,2018,7.88908729652601,225463.1402080607,,0.03127780652324641,,90.45675800194127,,294991.0127260152,0.03398820990546571,98.34584529846728,14289.077106448303
PJM_Dom,PJM_West,674630.3230475293,32678.435235339424,0.0304028063964843,154283,116991,2018,533.3825573662238,225463.1402080607,269693.55200095824,0.03127780652324641,0.0450987753550211,90.45675800194127,130.40611460128412,1169787.0152565483,0.10677938827475181,754.2454299694491,56663.34273935231
PJM_Dom,S_VACA,317554.2258533448,15382.017156269714,0.0192893204650878,115246,147032,2018,258.917045251632,225463.1402080607,390443.1251374207,0.03127780652324641,0.0608255060831705,90.45675800194127,175.88098833543688,933460.4911988262,0.11139263307150471,525.2547915890101,45215.91627929224
PJM_EMAC,PJM_SMAC,167353.21647359314,8106.426674172426,0.0156664279018218,146548,146767,2018,45.3522907321225,178610.14516786803,,0.0130808413505554,,37.824116139070455,,345963.36164146115,0.0287472692523772,83.17640687119295,16758.128001317687
PJM_EMAC,PJM_WMAC,73275.40239216384,3549.389064812406,0.0062291266793385,147495,147476,2018,18.063708498984756,178610.14516786803,,0.0130808413505554,,37.824116139070455,,251885.54756003188,0.0193099680298939,55.88782463805521,12201.09039195767
PJM_PENE,PJM_WMAC,630214.2226297363,30526.962626826207,0.0301183282470703,123643,146107,2018,528.3917023478381,,,,,,,630214.2226297363,0.0301183282470703,528.3917023478381,30526.962626826207
PJM_SMAC,PJM_WMAC,524591.8903012451,25410.719806891582,0.0188711730728149,144385,146767,2018,253.30434687942423,,,,,,,524591.8903012451,0.0188711730728149,253.30434687942423,25410.719806891586
PJM_West,S_C_KY,283681.5239033813,13741.25649209208,0.0409763371149698,125223,113368,2018,118.4858043845015,269693.55200095824,,0.0450987753550211,,130.40611460128412,,553375.0759043396,0.0860751124699909,248.89191898578562,26804.94926036252
PJM_West,S_C_TVA,548925.0280868653,26589.393281881472,0.0295896443148925,147295,113368,2018,397.2282284336741,269693.55200095824,423800.8732021485,0.0450987753550211,0.0236796594848632,130.40611460128412,317.8477631084999,1242419.4532899722,0.0983680791547768,845.4821061434582,60181.58723737323
PJM_West,S_VACA,711278.4492263965,34453.634743749724,0.0355232286987304,154283,150416,2018,623.214555828437,269693.55200095824,390443.1251374207,0.0450987753550211,0.0608255060831705,130.40611460128412,175.88098833543688,1371415.1263647755,0.141447510136922,929.501658765158,66430.01189930025
S_C_KY,S_C_TVA,357167.15492923587,17300.82882699475,0.0189157027407959,148113,129144,2018,253.9538418160357,,423800.8732021485,,0.0236796594848632,,317.8477631084999,780968.0281313844,0.0425953622256591,571.8016049245356,37829.330014216066
S_C_TVA,S_D_AECI,584331.8298148634,28304.464243904287,0.0329576466289311,107991,121121,2018,578.2561863887796,423800.8732021485,,0.0236796594848632,,317.8477631084999,,1008132.7030170119,0.056637306113794306,896.1039494972795,48832.9654311256
S_C_TVA,S_SOU,346847.5486692871,16800.957159061763,0.019413170349121,153461,148129,2018,260.5794731452714,423800.8732021485,397700.8759244141,0.0236796594848632,0.0195274735565185,317.8477631084999,262.1137443927329,1168349.2977958496,0.0626203033905027,840.5409806465042,56593.701107007764
S_C_TVA,S_VACA,728971.8387161817,35310.68528355306,0.0372997646484375,150303,148129,2018,654.381817718015,423800.8732021485,390443.1251374207,0.0236796594848632,0.0608255060831705,317.8477631084999,175.88098833543688,1543215.8370557511,0.1218049302164712,1148.1105691619518,74751.87085805446
S_D_AECI,SPP_N,113410.11642452088,5493.475490205483,0.0176253009671345,117394,121121,2018,51.016504294495604,,,,,,,113410.11642452088,0.0176253009671345,51.016504294495604,5493.475490205483
S_D_AECI,SPP_NEBR,415569.8778111207,20129.79979385224,0.0269970270358398,121417,131499,2018,362.4279759019799,,,,,,,415569.8778111207,0.0269970270358398,362.4279759019799,20129.79979385224
S_D_AECI,SPP_WAUE,829264.5060562501,40168.76432667512,0.0676125831298828,121417,132925,2018,1186.1857313215453,,,,,,,829264.5060562501,0.0676125831298828,1186.1857313215453,40168.76432667512
S_D_AECI,SPP_WEST,530604.6441756152,25701.97174348115,0.0291881389385014,121417,149384,2018,512.1244584051342,,,,,,,530604.6441756152,0.0291881389385014,512.1244584051342,25701.97174348115
S_SOU,S_VACA,471691.4483085205,22848.27396281664,0.0233156466827392,150303,133851,2018,312.961724139179,397700.8759244141,390443.1251374207,0.0195274735565185,0.0608255060831705,262.1137443927329,175.88098833543688,1259835.4493703553,0.10366862632242821,750.9564568673487,61025.201110821414
SPP_N,SPP_NEBR,291992.25480129395,14143.82019569044,0.0194589098205566,117645,131499,2018,261.19343417595013,,,,,,,291992.25480129395,0.0194589098205566,261.19343417595013,14143.82019569044
SPP_N,SPP_SPS,688377.4448866309,33344.3324168685,0.0516173095092773,301002,118173,2018,905.5669362949283,,,,,,,688377.4448866309,0.0516173095092773,905.5669362949283,33344.3324168685
SPP_N,SPP_WEST,496495.5100813233,24049.7585367005,0.0338995643920898,118177,149384,2018,455.0277413171593,,,,,,,496495.5100813233,0.0338995643920898,455.0277413171593,24049.7585367005
SPP_NEBR,SPP_WAUE,620556.8102666504,30059.166985766897,0.0446691994628906,134908,131672,2018,783.6701833132058,,,,,,,620556.8102666504,0.0446691994628906,783.6701833132058,30059.166985766897
SPP_NEBR,SPP_WEST,600856.2091296876,29104.889070354937,0.0387272208251953,149035,131640,2018,679.4249275747745,,,,,,,600856.2091296876,0.0387272208251953,679.4249275747745,29104.889070354937
SPP_SPS,SPP_WEST,471903.4739116089,22858.544276352884,0.0349155431365966,301002,149221,2018,468.6650429449513,,,,,,,471903.4739116089,0.0349155431365966,468.6650429449513,22858.544276352884
SPP_SPS,WECC_NM,501527.5226161426,24293.504318804826,0.0279380017089843,302890,304924,2018,490.14043968936704,,,,,,,501527.5226161426,0.0279380017089843,490.14043968936704,24293.50431880482
WEC_BANC,WEC_CALN,364253.6216870606,17644.09036902989,0.0430768818094705,301273,300360,2018,124.61143571373685,,92368.82579210708,,0.0037213085651397,,10.760407640085653,456622.44747916766,0.0467981903746102,135.3718433538225,22118.346251534986
WEC_CALN,WECC_NNV,550133.4297935059,26647.927082630813,0.027049932767041,301273,310047,2018,363.13813101037084,92368.82579210708,,0.0037213085651397,,10.760407640085653,,642502.255585613,0.030771241332180697,373.8985386504565,31122.182965135908
WEC_CALN,WECC_PNW,936791.139225215,45377.24962305656,0.0615670832519531,201104,301273,2018,1080.1242417671872,92368.82579210708,454190.68380382087,0.0037213085651397,0.0191012902679443,10.760407640085653,256.39318164425606,1483350.648821143,0.0843896820850371,1347.2778310515291,71852.0594950864
WEC_CALN,WECC_SCE,879007.0234548926,42578.24338168012,0.0349384696880131,301570,303308,2018,613.0074490472505,92368.82579210708,,0.0037213085651397,,10.760407640085653,,971375.8492469996,0.038659778253152796,623.7678566873361,47052.499264185215
WEC_LADW,WECC_AZ,652400.2852082129,31601.63387169828,0.0315666584472656,308529,305000,2018,553.8010819142729,,259107.8086176636,,0.0483159921010335,,139.70889244992054,911508.0938258765,0.0798826505482991,693.5099743641935,44152.56354920479
WEC_LADW,WECC_PNW,1220175.7102772852,59104.12200849348,0.0896081469726562,308529,201052,2018,1572.0727265770217,,454190.68380382087,,0.0191012902679443,,256.39318164425606,1674366.394081106,0.1087094372406005,1828.465908221278,81104.67599801821
