CA_N,CA_S,WECC_AZ,WECC_CO
0.354,0.332,0.454,0.282
0.098,0.069,0.15,0.099
0,0,0.007,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.086,0.099,0.029,0.074
0.369,0.239,0.298,0.437
0.564,0.383,0.509,0.639
0.685,0.509,0.569,0.761
0.74,0.622,0.6,0.814
0.739,0.648,0.629,0.807
0.68,0.607,0.659,0.71
0.558,0.484,0.618,0.579
0.364,0.248,0.457,0.371
0.102,0.032,0.187,0.088
0,0,0.011,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.085,0.143,0.019,0.163
0.363,0.374,0.235,0.482
0.55,0.551,0.481,0.672
0.661,0.662,0.642,0.787
0.723,0.715,0.715,0.833
0.724,0.703,0.699,0.822
0.669,0.615,0.551,0.755
0.549,0.473,0.359,0.619
0.356,0.244,0.193,0.414
0.073,0.026,0.085,0.114
0,0,0.009,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.003,0.048,0.011,0.179
0.095,0.09,0.266,0.503
0.127,0.103,0.502,0.691
0.119,0.158,0.634,0.802
0.129,0.24,0.681,0.847
0.122,0.281,0.658,0.834
0.13,0.229,0.592,0.768
0.152,0.167,0.508,0.638
0.059,0.108,0.409,0.43
0.009,0.022,0.194,0.123
0,0,0.009,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.004,0.019,0.001,0.01
0.054,0.081,0.059,0.072
0.117,0.158,0.149,0.231
0.204,0.24,0.223,0.607
0.251,0.231,0.263,0.708
0.179,0.179,0.208,0.669
0.075,0.132,0.166,0.592
0.052,0.118,0.129,0.381
0.034,0.097,0.108,0.156
0.006,0.029,0.085,0.018
0,0,0.004,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.002,0.013,0.009,0.01
0.046,0.051,0.142,0.112
0.157,0.084,0.32,0.238
0.309,0.127,0.451,0.318
0.336,0.156,0.513,0.532
0.351,0.195,0.597,0.62
0.32,0.194,0.492,0.546
0.234,0.155,0.351,0.389
0.074,0.081,0.205,0.21
0.009,0.015,0.081,0.032
0,0,0.003,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.011,0.054,0.015,0.088
0.108,0.175,0.175,0.284
0.241,0.326,0.369,0.468
0.317,0.519,0.499,0.575
0.323,0.617,0.51,0.688
0.386,0.629,0.431,0.701
0.295,0.539,0.338,0.656
0.254,0.428,0.375,0.493
0.067,0.18,0.319,0.303
0.012,0.039,0.108,0.062
0,0,0.008,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.011,0.139,0.032,0.078
0.087,0.378,0.289,0.29
0.187,0.619,0.524,0.488
0.373,0.735,0.666,0.636
0.515,0.785,0.741,0.677
0.514,0.774,0.768,0.655
0.438,0.706,0.739,0.579
0.358,0.57,0.648,0.447
0.238,0.36,0.488,0.238
0.079,0.096,0.259,0.047
0,0,0.031,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.092,0.156,0.043,0.077
0.342,0.411,0.34,0.308
0.546,0.607,0.562,0.499
0.679,0.716,0.706,0.661
0.726,0.787,0.769,0.73
0.708,0.782,0.776,0.672
0.64,0.707,0.754,0.451
0.504,0.556,0.666,0.287
0.333,0.332,0.491,0.094
0.107,0.089,0.26,0.012
0,0,0.031,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.127,0.262,0.058,0.101
0.397,0.515,0.374,0.383
0.594,0.695,0.593,0.701
0.717,0.802,0.738,0.828
0.772,0.846,0.818,0.886
0.765,0.831,0.843,0.881
0.701,0.759,0.807,0.81
0.571,0.623,0.71,0.673
0.365,0.413,0.546,0.458
0.106,0.128,0.306,0.141
0,0,0.048,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.107,0.238,0.067,0.09
0.358,0.481,0.389,0.307
0.553,0.651,0.609,0.637
0.675,0.754,0.747,0.801
0.736,0.793,0.814,0.857
0.738,0.778,0.831,0.853
0.682,0.711,0.791,0.766
0.564,0.578,0.691,0.618
0.374,0.374,0.527,0.329
0.123,0.111,0.29,0.063
0,0,0.044,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.001,0,0
0.142,0.246,0.063,0.151
0.397,0.491,0.376,0.375
0.601,0.666,0.598,0.636
0.716,0.773,0.74,0.815
0.769,0.816,0.809,0.879
0.762,0.801,0.821,0.871
0.7,0.729,0.78,0.801
0.576,0.597,0.68,0.658
0.384,0.395,0.521,0.433
0.129,0.124,0.293,0.117
0,0,0.048,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.002,0,0
0.139,0.262,0.074,0.218
0.393,0.497,0.391,0.48
0.583,0.662,0.601,0.67
0.697,0.759,0.733,0.784
0.754,0.799,0.793,0.835
0.751,0.782,0.812,0.826
0.69,0.714,0.776,0.758
0.568,0.584,0.679,0.626
0.377,0.385,0.523,0.418
