ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting,ev_load_shifting
2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045,2030,2030,2030,2030,2030,2030,2030,2045,2045,2045,2045,2045,2045,2045
moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,high,high,high,high,high,high,high,high,high,high,high,high
CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV,CA_N,CA_S,WECC_AZ,WECC_CO,WECC_NM,WECC_NW,WECC_SNV
158.3,204.1,145.7,112.5,34.3,347.9,37.3,259.8,335,302.6,206.4,63,603.7,64.8,401.8,518,369.9,285.6,87.2,883,94.8,1982.4,2555.7,2309.1,1574.7,480.6,4606.1,494.3
149.5,192.7,138.2,135.9,32.6,333.1,35.4,245.4,316.4,287,249.4,59.7,578.1,61.4,379.5,489.3,350.8,345,82.7,845.6,89.9,1872.3,2413.8,2189.9,1902.6,455.8,4410.8,468.8
170.5,219.8,159.6,157.5,37.6,385.8,40.9,279.8,360.7,331.5,289,69,669.6,71,432.7,557.9,405.2,399.9,95.5,979.4,103.8,2134.9,2752.2,2529.5,2205,526.4,5108.9,541.5
205.6,265.1,189,164.4,44.5,463.8,48.4,337.5,435.1,392.6,301.6,81.7,805,84,521.9,672.9,479.8,417.3,113.1,1177.4,122.9,2575.1,3319.7,2995.3,2301.2,623.4,6141.9,641.2
229.5,295.9,204.7,185.4,48.2,515.5,52.4,376.7,485.7,425.1,340.2,88.5,894.6,91,582.6,751.1,519.5,470.7,122.4,1308.5,133.1,2874.4,3705.6,3243.1,2595.4,674.9,6825.4,694.2
237.3,306,208.8,247.1,49.2,536.5,53.5,389.6,502.2,433.7,453.2,90.3,931.1,92.8,602.5,776.7,530.1,627.1,124.9,1361.9,135.8,2972.3,3831.8,3309.2,3458,688.7,7103.9,708.4
276.1,355.9,243.6,328.6,57.4,639.2,62.4,453.2,584.2,505.9,602.8,105.3,1109.4,108.3,700.8,903.5,618.3,834.1,145.7,1622.7,158.4,3457.6,4457.5,3859.8,4599.2,803.3,8464.5,826.2
372.9,480.7,312.8,394.2,73.7,861.5,80.1,612.1,789.1,649.6,723.1,135.2,1495.1,139.1,946.6,1220.3,794,1000.6,187.1,2186.8,203.4,4670.2,6020.7,4956.3,5517.4,1031.5,11407,1060.9
481.3,620.5,376.1,318.5,88.6,1108.8,96.3,790,1018.5,781.1,584.3,162.6,1924.3,167.2,1221.7,1575,954.7,808.4,224.9,2814.5,244.6,6027.5,7770.6,5959.5,4457.6,1240.3,14681.5,1275.7
535.1,689.8,389.3,182.4,91.7,1207.1,99.7,878.3,1132.3,808.6,334.6,168.3,2094.9,173.1,1358.3,1751.1,988.3,463,232.8,3064.1,253.2,6701.4,8639.3,6169.1,2553,1283.9,15983.4,1320.5
398.6,513.9,285.6,130.8,67.3,876.4,73.1,654.3,843.5,593.1,240,123.4,1521.1,127,1011.9,1304.5,724.9,332.1,170.8,2224.8,185.7,4992.1,6435.7,4524.9,1831.3,941.7,11605.2,968.6
227.1,292.8,173.9,99,41,496.2,44.5,372.8,480.6,361.1,181.6,75.2,861.3,77.3,576.5,743.2,441.4,251.3,104,1259.7,113.1,2844,3666.5,2755.2,1385.6,573.4,6571,589.8
179.6,231.6,136.5,67.2,32.2,369.2,35,294.8,380.1,283.5,123.4,59,640.7,60.7,455.9,587.8,346.5,170.7,81.6,937.2,88.7,2249.4,2899.9,2162.7,941.3,450.1,4888.7,462.9
134.1,172.8,101.4,47.1,23.9,267.4,26,220.1,283.7,210.7,86.5,43.8,464,45.1,340.3,438.8,257.5,119.7,60.7,678.7,66,1679.1,2164.7,1607.3,659.9,334.5,3540.1,344
89.3,115.1,69.9,27.5,16.5,178.8,17.9,146.5,188.9,145.3,50.5,30.2,310.3,31.1,226.6,292.1,177.5,69.9,41.8,453.9,45.5,1117.8,1441,1108.3,385.3,230.7,2367.8,237.2
62.2,80.2,49.6,17.2,11.7,122.6,12.7,102.1,131.7,102.9,31.6,21.4,212.9,22,158,203.6,125.8,43.7,29.6,311.3,32.2,779.3,1004.7,785.4,240.9,163.4,1624,168.1
34.8,44.9,29,8.7,6.8,69.5,7.4,57.1,73.7,60.2,16,12.5,120.6,12.9,88.4,113.9,73.5,22.2,17.3,176.4,18.8,435.9,561.9,459,122.3,95.5,920.2,98.3
22.4,28.8,18.2,9.6,4.3,43,4.7,36.7,47.3,37.7,17.7,7.9,74.7,8.1,56.8,73.2,46.1,24.4,10.9,109.3,11.8,280.2,361.2,288,134.7,59.9,570,61.7
11.7,15.1,11.3,5.8,2.7,24.7,2.9,19.2,24.7,23.5,10.7,4.9,42.9,5,29.7,38.2,28.8,14.8,6.8,62.7,7.4,146.3,188.6,179.6,81.4,37.4,327.2,38.4
13.7,17.7,12,18.9,2.8,27.4,3.1,22.5,29,25,34.7,5.2,47.5,5.3,34.8,44.9,30.5,48,7.2,69.4,7.8,171.9,221.6,190.4,264.6,39.6,362.2,40.8
10.5,13.5,14.5,49.9,3.4,28,3.7,17.2,22.2,30.2,91.6,6.3,48.5,6.5,26.6,34.3,36.9,126.7,8.7,71,9.4,131.4,169.4,230.1,698.6,47.9,370.2,49.3
37.6,48.4,45.5,94.1,10.7,93,11.7,61.7,79.5,94.5,172.7,19.7,161.3,20.2,95.4,123,115.5,238.9,27.2,236,29.6,470.6,606.6,720.7,1317.5,150,1231,154.3
88.5,114.1,96.7,107.4,22.8,207.1,24.8,145.2,187.2,200.9,197,41.8,359.4,43,224.6,289.5,245.5,272.6,57.8,525.7,62.9,1108.1,1428.5,1532.7,1503.2,319,2742.3,328.1
148.7,191.7,143.9,101.5,33.9,332,36.9,244.1,314.6,298.8,186.3,62.2,576.3,64,377.4,486.6,365.2,257.7,86.1,842.9,93.6,1862,2400.5,2280,1421.2,474.5,4396.6,488
158.4,204.2,147,112.1,34.6,350.7,37.6,260,335.2,305.2,205.6,63.5,608.6,65.3,402.1,518.4,373,284.5,87.9,890.2,95.6,1983.9,2557.6,2328.6,1568.7,484.6,4643.7,498.5
148.8,191.8,139.1,136.1,32.8,336.2,35.6,244.2,314.8,288.8,249.6,60.1,583.6,61.8,377.7,486.9,353,345.4,83.2,853.5,90.4,1863.3,2402.1,2203.7,1904.7,458.6,4452.3,471.7
169.3,218.2,160.6,159.1,37.8,389,41.1,277.9,358.2,333.5,291.8,69.4,675.1,71.4,429.7,554,407.6,403.8,96,987.5,104.4,2120.1,2733.2,2544.3,2226.7,529.5,5150.9,544.6
203.3,262.1,190.7,165.1,44.9,467.6,48.8,333.8,430.3,396,302.8,82.4,811.6,84.8,516.2,665.5,484,419,114,1187,124,2546.7,3283.1,3021.3,2310.3,628.8,6191.9,646.7
226.6,292.2,206.6,185.2,48.7,519.9,52.9,372,479.6,429.2,339.8,89.3,902.3,91.9,575.3,741.6,524.5,470.1,123.6,1319.8,134.4,2838.2,3659,3274.4,2592.3,681.5,6884.4,700.9
233.6,301.1,212,245.3,50,542.2,54.3,383.4,494.3,440.4,450.1,91.7,941,94.3,592.9,764.4,538.3,622.8,126.8,1376.3,137.9,2925.2,3771.2,3360,3433.9,699.3,7179.2,719.2
270.4,348.6,249.3,322.4,58.7,646.2,63.8,443.9,572.2,517.7,591.4,107.7,1121.6,110.8,686.4,884.9,632.7,818.3,149.1,1640.5,162.1,3386.6,4365.9,3949.7,4512,822,8557.2,845.5
363.5,468.7,324.5,383.9,76.5,869.9,83.1,596.7,769.3,674,704.2,140.3,1509.8,144.3,922.8,1189.7,823.8,974.4,194.1,2208.3,211,4552.8,5869.4,5142.3,5373.1,1070.2,11519.1,1100.7
471,607.2,394.8,307.9,93,1124,101.1,773.1,996.7,820,564.9,170.7,1950.8,175.5,1195.6,1541.4,1002.2,781.7,236.1,2853.3,256.7,5898.8,7604.6,6256.3,4310.3,1302,14883.8,1339.2
523.8,675.3,409.5,176.8,96.5,1220.3,104.9,859.8,1108.4,850.4,324.3,177,2117.8,182,1329.6,1714.1,1039.4,448.8,244.9,3097.6,266.3,6559.9,8456.9,6488.3,2474.4,1350.3,16157.9,1388.9
390,502.8,298.4,126.2,70.3,885.5,76.4,640.1,825.3,619.7,231.6,129,1536.8,132.6,990,1276.2,757.4,320.4,178.4,2247.8,194,4884.1,6296.5,4727.8,1766.7,983.9,11725,1012
222.2,286.5,180.6,95.1,42.6,500.8,46.3,364.8,470.3,375.1,174.5,78.1,869.1,80.3,564.2,727.3,458.5,241.4,108,1271.2,117.5,2783.4,3588.3,2862.2,1331.1,595.7,6630.8,612.7
176.9,228.1,140.1,64.9,33,370.6,35.9,290.4,374.4,291,119,60.6,643.2,62.3,449.1,579,355.6,164.6,83.8,940.8,91.1,2215.7,2856.4,2219.8,907.8,462,4907.7,475.2
132.7,171,103.4,46.1,24.4,267.9,26.5,217.8,280.7,214.7,84.6,44.7,465,46,336.8,434.1,262.4,117,61.8,680.1,67.2,1661.4,2141.8,1638.3,645.2,341,3547.5,350.7
88.6,114.2,71.4,26.9,16.8,179,18.3,145.4,187.4,148.3,49.4,30.9,310.6,31.8,224.8,289.8,181.3,68.4,42.7,454.3,46.4,1109,1429.7,1131.8,377.2,235.5,2369.6,242.3
62,79.9,50,16.9,11.8,123,12.8,101.8,131.2,103.9,31,21.6,213.5,22.2,157.4,202.9,127,42.9,29.9,312.3,32.5,776.4,1001,793,236.8,165,1629,169.7
34.5,44.5,29.2,8.6,6.9,69.6,7.5,56.7,73,60.7,15.8,12.6,120.8,13,87.6,113,74.1,21.9,17.5,176.7,19,432.3,557.3,462.8,120.5,96.3,921.9,99.1
22.1,28.5,18.3,9.4,4.3,43.1,4.7,36.3,46.8,38.1,17.2,7.9,74.8,8.1,56.2,72.4,46.5,23.8,11,109.4,11.9,277,357.1,290.4,131.3,60.4,570.5,62.2
11.6,14.9,11.4,5.8,2.7,24.7,2.9,19,24.5,23.6,10.6,4.9,42.9,5.1,29.4,37.9,28.9,14.6,6.8,62.8,7.4,145.2,187.2,180.3,80.7,37.5,327.5,38.6
13.7,17.6,12.1,18.7,2.8,27.2,3.1,22.5,29,25.1,34.2,5.2,47.2,5.4,34.7,44.8,30.6,47.4,7.2,69,7.8,171.4,221,191.3,261.2,39.8,359.9,40.9
10.4,13.5,14.5,49.2,3.4,27.7,3.7,17.2,22.1,30.2,90.3,6.3,48.1,6.5,26.5,34.2,36.9,124.9,8.7,70.3,9.5,130.9,168.7,230.5,688.8,48,366.9,49.3
37.3,48.2,45.5,92.2,10.7,92,11.7,61.3,79,94.5,169.2,19.7,159.7,20.2,94.8,122.2,115.5,234.1,27.2,233.6,29.6,467.8,603,720.9,1290.7,150,1218.4,154.3
87.7,113.1,96.4,105.4,22.7,205.7,24.7,144,185.6,200.2,193.3,41.7,357,42.9,222.6,287,244.7,267.4,57.7,522.2,62.7,1098.4,1416,1527.7,1474.6,317.9,2724.1,327
146.4,188.7,142.9,99.6,33.7,329.3,36.6,240.3,309.8,296.7,182.7,61.8,571.5,63.5,371.6,479.1,362.7,252.7,85.4,835.9,92.9,1833.3,2363.5,2263.9,1393.6,471.1,4360.1,484.6
156.2,201.3,145.6,111,34.3,347.7,37.3,256.4,330.5,302.4,203.6,62.9,603.4,64.7,396.4,511.1,369.6,281.7,87.1,882.6,94.7,1955.9,2521.5,2307.4,1553.2,480.2,4603.7,493.9
146.3,188.7,138.1,134.9,32.5,333.4,35.4,240.2,309.7,286.9,247.5,59.7,578.7,61.4,371.5,478.9,350.6,342.4,82.6,846.4,89.8,1832.7,2362.6,2188.8,1888.2,455.5,4415.2,468.5
166,214,158,156.6,37.2,385.7,40.5,272.5,351.3,328.2,287.3,68.3,669.4,70.3,421.4,543.3,401.2,397.5,94.5,979.1,102.8,2079.1,2680.3,2504.3,2192,521.2,5107.4,536.1
200.7,258.7,186.7,163.2,44,465,47.8,329.4,424.7,387.7,299.5,80.7,806.9,83,509.4,656.7,473.9,414.4,111.7,1180.3,121.4,2513.2,3239.9,2958.2,2284.9,615.6,6156.6,633.2
224,288.8,202.5,183.8,47.7,515.4,51.9,367.7,474.1,420.5,337.2,87.5,894.6,90,568.7,733.1,513.9,466.6,121.1,1308.4,131.6,2805.6,3616.9,3208.1,2572.8,667.7,6825.1,686.7
230.9,297.6,206.9,244.8,48.7,539.5,53,378.9,488.5,429.7,449,89.4,936.4,92,586,755.5,525.2,621.3,123.7,1369.6,134.5,2891.2,3727.2,3278.6,3426.1,682.3,7144.3,701.8
266.6,343.7,241.4,324.4,56.9,641.5,61.8,437.6,564.1,501.3,595.2,104.3,1113.3,107.3,676.7,872.3,612.7,823.5,144.4,1628.3,157,3338.4,4303.8,3825,4540.8,796.1,8493.9,818.8
358.2,461.8,312.1,388.2,73.5,862.6,79.9,588,758,648.1,712.1,134.9,1497.1,138.7,909.3,1172.3,792.2,985.3,186.6,2189.7,202.9,4486.2,5783.5,4945.1,5433.2,1029.2,11422.1,1058.5
462,595.6,376.6,311.6,88.7,1111,96.5,758.4,977.7,782.1,571.6,162.8,1928.1,167.4,1172.8,1512,956,790.9,225.2,2820.2,244.9,5786.1,7459.4,5967.4,4361.3,1241.9,14710.8,1277.4
512.3,660.5,389.7,178,91.8,1200.5,99.8,841,1084.2,809.4,326.5,168.5,2083.6,173.3,1300.6,1676.6,989.3,451.8,233.1,3047.5,253.4,6416.4,8271.9,6175.5,2491.1,1285.2,15896.8,1321.9
381.9,492.3,286.1,126.7,67.4,865.6,73.3,626.9,808.1,594.2,232.5,123.7,1502.2,127.2,969.4,1249.7,726.2,321.7,171.1,2197.2,186,4782.7,6165.8,4533.2,1773.8,943.4,11461.2,970.4
217.9,280.9,174.1,95.4,41,488.5,44.6,357.6,461.1,361.7,175.1,75.3,847.9,77.4,553.1,713,442,242.3,104.1,1240.1,113.2,2728.7,3517.8,2759.3,1335.8,574.3,6468.9,590.6
172.6,222.5,135.6,65.2,31.9,363.9,34.7,283.4,365.3,281.5,119.7,58.6,631.6,60.3,438.2,564.9,344.1,165.6,81.1,923.8,88.1,2161.9,2787.1,2148.1,913.1,447.1,4818.9,459.8
129.9,167.4,101.6,46.3,23.9,264.4,26,213.2,274.8,211.1,85,43.9,458.9,45.2,329.6,425,258,117.6,60.8,671.1,66.1,1626.3,2096.6,1610.3,648.6,335.1,3500.9,344.7
87.4,112.7,70.7,56.2,16.7,176.9,18.1,143.5,184.9,146.8,103.1,30.6,307,31.4,221.9,286,179.4,142.6,42.3,449,46,1094.6,1411.1,1120,786.3,233.1,2342.1,239.7
66.7,86,61.4,28.9,14.5,142.8,15.7,109.4,141.1,127.6,53.1,26.6,247.9,27.3,169.2,218.2,155.9,73.4,36.7,362.6,39.9,835,1076.4,973.3,404.9,202.6,1891.4,208.3
79.8,102.8,62.7,20.9,14.8,157.5,16,130.9,168.8,130.1,38.3,27.1,273.4,27.9,202.5,261,159,53,37.5,399.9,40.7,998.9,1287.7,992.8,292.4,206.6,2085.9,212.5
34.9,45,30.4,15.4,7.2,71.4,7.8,57.3,73.9,63.1,28.3,13.1,124,13.5,88.6,114.3,77.1,39.1,18.2,181.4,19.8,437.3,563.8,481.4,215.8,100.2,946,103
29,37.4,25.2,4.4,5.9,58.5,6.4,47.6,61.4,52.3,8,10.9,101.6,11.2,73.7,95,63.9,11,15.1,148.6,16.4,363.5,468.6,398.9,60.9,83,775.1,85.4
19.5,25.1,15.3,7.7,3.6,36.8,3.9,32,41.3,31.9,14.2,6.6,63.8,6.8,49.5,63.8,38.9,19.7,9.2,93.3,10,244.2,314.8,243,108.4,50.6,486.9,52
5.1,6.6,6.3,16.1,1.5,12.6,1.6,8.3,10.8,13,29.5,2.7,21.9,2.8,12.9,16.6,15.9,40.9,3.7,32,4.1,63.6,82,99.1,225.3,20.6,166.9,21.2
14.1,18.1,15.2,27.6,3.6,33.1,3.9,23.1,29.7,31.5,50.7,6.6,57.4,6.7,35.7,46,38.5,70.1,9.1,84,9.9,176.1,227,240.5,386.7,50.1,438.1,51.5
27,34.8,27.6,50.9,6.5,63.2,7.1,44.3,57.1,57.4,93.5,11.9,109.6,12.3,68.5,88.3,70.2,129.3,16.5,160.3,18,338,435.7,438.1,713,91.2,836.2,93.8
46.2,59.6,49.1,88.7,11.6,114.9,12.6,75.9,97.8,102,162.7,21.2,199.5,21.8,117.3,151.3,124.7,225.1,29.4,291.8,31.9,578.9,746.3,778.2,1241.2,162,1522,166.6
83.9,108.2,87.2,124.2,20.5,212.1,22.3,137.8,177.6,181.1,227.9,37.7,368,38.8,213.1,274.7,221.4,315.4,52.2,538.3,56.7,1051.1,1355.1,1381.8,1738.9,287.6,2808,295.8
138.6,178.6,132.7,159.7,31.3,338.3,34,227.4,293.2,275.5,292.9,57.3,587.1,59,351.7,453.4,336.7,405.3,79.3,858.7,86.3,1735.2,2237,2102,2234.7,437.5,4479.3,450
185.6,239.3,173.9,201.1,41,450.9,44.6,304.6,392.7,361.2,368.9,75.2,782.5,77.3,471.1,607.3,441.5,510.4,104,1144.6,113.1,2324.2,2996.3,2756.1,2814.3,573.6,5970.5,590
236.1,304.4,215.5,216.4,50.8,569.4,55.2,387.6,499.7,447.7,397,93.2,988.2,95.8,599.4,772.7,547.2,549.4,128.9,1445.4,140.2,2957.2,3812.3,3415.6,3029.2,710.8,7539.5,731.1
287.3,370.4,247.9,226.6,58.4,676.7,63.5,471.6,608,515,415.7,107.2,1174.4,110.2,729.3,940.2,629.4,575.2,148.3,1717.7,161.2,3598.1,4638.6,3928.9,3171.6,817.7,8960.2,841
298.6,384.9,253.6,241,59.7,702.5,65,490.1,631.8,526.7,442.2,109.6,1219.3,112.7,757.9,977,643.7,611.8,151.7,1783.4,164.9,3739,4820.2,4018.2,3373.6,836.3,9302.6,860.1
309.1,398.4,257.7,264.9,60.7,728.6,66,507.3,654,535.3,486,111.4,1264.6,114.6,784.6,1011.4,654.2,672.4,154.1,1849.6,167.6,3870.7,4990,4084.1,3707.8,850,9648.3,874.2
328.8,423.9,266.6,246.8,62.8,778.3,68.3,539.8,695.9,553.7,452.8,115.2,1350.8,118.5,834.7,1076.1,676.7,626.5,159.4,1975.7,173.4,4118.3,5309.2,4224.5,3454.8,879.2,10305.9,904.3
351.2,452.7,265.1,279,62.5,816,67.9,576.4,743.1,550.6,511.8,114.6,1416.1,117.9,891.4,1149.2,672.9,708.2,158.6,2071.3,172.4,4397.9,5669.7,4200.7,3905,874.2,10804.5,899.2
323.7,417.4,261.2,276.1,61.6,791.8,66.9,531.4,685.1,542.6,506.6,112.9,1374.2,116.1,821.8,1059.5,663.1,700.9,156.2,2010,169.9,4054.5,5227,4139.6,3864.8,861.5,10485,886.1
375.6,484.2,300.2,233.4,70.7,891.6,76.9,616.5,794.7,623.4,428.2,129.7,1547.4,133.4,953.3,1229,761.9,592.5,179.5,2263.3,195.2,4703.3,6063.4,4756.3,3267.3,989.9,11806.3,1018.1
364.4,469.8,291.5,195.7,68.7,833.1,74.7,598.2,771.2,605.5,359,126,1445.9,129.6,925.1,1192.7,740,496.7,174.4,2114.8,189.6,4564.2,5884.1,4619.4,2739,961.4,11031.4,988.8
313.2,403.8,248.3,155.7,58.5,682.5,63.6,514.2,662.8,515.6,285.7,107.3,1184.5,110.4,795.1,1025,630.2,395.3,148.5,1732.5,161.4,3922.8,5057.2,3933.9,2179.6,818.7,9037,842.1
263,339,207.9,112.6,49,558.9,53.3,431.6,556.4,431.8,206.5,89.9,970,92.4,667.5,860.5,527.8,285.7,124.3,1418.8,135.2,3293.1,4245.4,3294.6,1575.4,685.7,7401.1,705.2
207.2,267.1,164.5,65.3,38.8,429.8,42.1,340.1,438.4,341.6,119.8,71.1,745.9,73.1,525.9,678,417.5,165.8,98.4,1091,107,2594.6,3344.9,2606.3,914.4,542.4,5690.8,557.9
144.2,185.9,115.2,28.8,27.1,293.2,29.5,236.6,305.1,239.3,52.9,49.8,508.8,51.2,366,471.8,292.4,73.2,68.9,744.3,74.9,1805.5,2327.7,1825.5,403.5,379.9,3882.2,390.8
77.2,99.6,61,21.1,14.4,155.1,15.6,126.8,163.4,126.8,38.6,26.4,269.2,27.1,196,252.7,155,53.5,36.5,393.8,39.7,967.1,1246.8,967.3,294.8,201.3,2054,207.1
33.4,43.1,29.7,15.5,7,70.3,7.6,54.9,70.8,61.8,28.4,12.9,122.1,13.2,84.9,109.5,75.5,39.3,17.8,178.5,19.3,418.9,540,471.2,216.4,98.1,931.3,100.9
27.8,35.8,24.7,4.4,5.8,57.6,6.3,45.6,58.8,51.4,8,10.7,99.9,11,70.6,91,62.8,11.1,14.8,146.2,16.1,348.2,448.9,391.8,61.1,81.5,762.4,83.9
18.7,24.1,15.2,7.7,3.6,36.2,3.9,30.7,39.6,31.5,14.2,6.5,62.7,6.7,47.5,61.2,38.5,19.6,9.1,91.8,9.9,234.2,301.9,240.1,108.3,50,478.7,51.4
4.9,6.3,6.2,15.9,1.5,12.4,1.6,8.1,10.4,13,29.2,2.7,21.5,2.8,12.5,16.1,15.8,40.4,3.7,31.4,4.1,61.5,79.3,98.9,222.9,20.6,163.8,21.2
13.5,17.5,15.3,27.4,3.6,32.2,3.9,22.2,28.6,31.8,50.2,6.6,56,6.8,34.4,44.3,38.9,69.5,9.2,81.8,10,169.5,218.5,242.9,383.4,50.5,426.9,52
25.6,33,28.2,50.5,6.6,61.3,7.2,42,54.2,58.6,92.7,12.2,106.4,12.5,65,83.8,71.6,128.2,16.9,155.6,18.3,320.7,413.4,446.9,707.1,93,811.8,95.7
42.7,55.1,49.7,89.2,11.7,111.6,12.7,70.1,90.4,103.3,163.6,21.5,193.6,22.1,108.4,139.7,126.2,226.3,29.7,283.2,32.3,534.8,689.4,787.9,1248.1,164,1477.3,168.6
77.4,99.8,89.2,125.8,21,206.7,22.9,127,163.8,185.4,230.9,38.6,358.8,39.7,196.5,253.3,226.5,319.5,53.4,524.8,58,969.3,1249.6,1414.2,1761.5,294.3,2737.4,302.7
128.1,165.2,137.8,162.6,32.5,332.1,35.3,210.3,271.2,286.2,298.2,59.6,576.3,61.3,325.3,419.4,349.8,412.7,82.4,842.9,89.6,1604.9,2069,2183.8,2275.4,454.5,4396.8,467.4
173.3,223.5,181.6,206.1,42.8,445.4,46.5,284.5,366.8,377.1,378,78.5,773,80.7,440,567.3,460.9,523.1,108.6,1130.7,118.1,2170.8,2798.6,2877.2,2884.2,598.8,5897.9,615.9
224,288.8,227.3,221.1,53.5,566.7,58.2,367.7,474.1,472,405.6,98.2,983.5,101,568.7,733.1,576.9,561.2,135.9,1438.5,147.8,2805.6,3616.9,3601.5,3094.4,749.5,7503.5,770.9
275.3,354.9,262.4,228.3,61.8,676.3,67.2,451.9,582.6,545,418.8,113.4,1173.8,116.7,698.8,900.9,666.1,579.5,156.9,1716.8,170.6,3447.8,4444.9,4158.2,3195.1,865.4,8955.3,890.1
289.1,372.6,263.7,239.2,62.1,706.6,67.5,474.5,611.7,547.6,438.8,114,1226.4,117.2,733.8,946,669.3,607.2,157.7,1793.8,171.4,3620.1,4667,4178,3348.2,869.5,9356.8,894.3
301.5,388.7,265.3,257.6,62.5,737.1,68,494.9,638,551,472.7,114.7,1279.2,117.9,765.3,986.6,673.4,654,158.7,1871,172.5,3775.7,4867.6,4203.9,3606.3,874.9,9759.6,899.9
322.1,415.3,273.1,237.8,64.3,785.2,70,528.8,681.7,567.2,436.2,118,1362.7,121.4,817.7,1054.2,693.2,603.6,163.3,1993.1,177.6,4034.2,5200.8,4327.2,3328.4,900.6,10396.7,926.3
343.2,442.5,269.4,266,63.5,825,69,563.4,726.3,559.4,488,116.4,1431.8,119.7,871.2,1123.2,683.7,675.3,161.1,2094.2,175.2,4298.3,5541.3,4268.2,3723.5,888.3,10923.9,913.6
316.4,407.8,261.2,265,61.5,803.3,66.9,519.3,669.5,542.5,486.1,112.9,1394.1,116.1,803.1,1035.3,663,672.6,156.2,2039.1,169.8,3962,5107.7,4138.7,3708.9,861.3,10636.6,885.9
364.1,469.4,297.3,226.1,70,907.3,76.2,597.7,770.5,617.4,414.9,128.5,1574.7,132.2,924.3,1191.6,754.6,574.1,177.8,2303.2,193.3,4560,5878.7,4710.7,3165.4,980.4,12014.2,1008.4
356.3,459.4,289.3,189.8,68.2,844.9,74.1,584.9,754.1,600.8,348.1,125,1466.3,128.6,904.6,1166.2,734.4,481.7,173,2144.7,188.1,4462.8,5753.3,4584.2,2656,954.1,11187.4,981.3
306.7,395.5,248,151.1,58.4,688.8,63.5,503.5,649.1,515,277.2,107.2,1195.5,110.2,778.7,1003.8,629.4,383.5,148.3,1748.5,161.2,3841.6,4952.5,3929.1,2114.8,817.7,9120.9,841.1
255.1,328.9,207.7,109,48.9,558.3,53.2,418.8,539.9,431.4,200,89.8,968.9,92.3,647.6,834.9,527.2,276.8,124.2,1417.1,135.1,3195,4118.9,3291.3,1526,685,7392,704.5
198.6,256,164.1,33.9,38.7,426.3,42,325.9,420.2,340.7,62.2,70.9,739.9,72.9,504,649.8,416.4,86.1,98.1,1082.2,106.7,2486.6,3205.7,2599.6,474.9,541,5644.9,556.5
132.1,170.3,103,16.7,24.3,266.5,26.4,216.8,279.5,214,30.7,44.5,462.5,45.8,335.3,432.3,261.6,42.4,61.6,676.4,67,1654.3,2132.7,1632.8,234,339.8,3528.4,349.5
33,42.5,29,8.5,6.8,67.4,7.4,54.2,69.8,60.2,15.6,12.5,117,12.9,83.8,108,73.6,21.6,17.3,171.2,18.9,413.2,532.7,459.4,119.1,95.6,892.9,98.3
21.1,27.2,18.2,9.3,4.3,41.9,4.7,34.6,44.6,37.8,17.1,7.9,72.7,8.1,53.6,69,46.2,23.7,10.9,106.4,11.8,264.2,340.6,288.5,130.5,60,554.8,61.8
11.1,14.3,11.4,5.7,2.7,24.2,2.9,18.2,23.5,23.7,10.5,4.9,42,5.1,28.1,36.3,29,14.5,6.8,61.4,7.4,138.9,179,180.8,79.8,37.6,320.4,38.7
13.2,17,12,18.6,2.8,26.8,3.1,21.7,27.9,25,34.1,5.2,46.6,5.4,33.5,43.2,30.6,47.2,7.2,68.1,7.8,165.3,213.1,190.8,260.1,39.7,355.3,40.8
10.2,13.2,14.7,48.9,3.5,27.5,3.8,16.7,21.6,30.4,89.7,6.3,47.8,6.5,25.9,33.4,37.2,124.2,8.8,69.9,9.5,127.8,164.7,232.2,684.7,48.3,364.4,49.7
36.5,47.1,46.4,92.3,10.9,91.7,11.9,60,77.3,96.3,169.3,20,159.1,20.6,92.8,119.6,117.7,234.3,27.7,232.7,30.2,457.7,590.1,734.9,1292.1,152.9,1213.8,157.3
85.9,110.7,99,105.7,23.3,204.7,25.4,141,181.7,205.7,194,42.8,355.3,44,218,281,251.4,268.4,59.2,519.7,64.4,1075.4,1386.4,1569.3,1479.9,326.6,2711,335.9
144.2,185.8,147.3,100.5,34.7,330.2,37.7,236.6,305.1,305.9,184.3,63.7,573,65.5,365.9,471.7,373.8,255,88.1,838.1,95.8,1805.4,2327.4,2333.5,1406.2,485.7,4371.9,499.5
